Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene,0.351,0.372,0.552,51.8,65.6,13.7,9.2,0.526,16.5,31.7,0.236
Air Force,0.309,0.45,0.547,40.1,59,11.1,8,0.521,21.2,15.3,0.214
Akron,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31,0.23
Alabama A&M,0.318,0.329,0.475,49.8,47.6,7.7,9.1,0.448,18.6,28.1,0.199
Alabama-Birmingham,0.314,0.272,0.524,51.7,39.1,11.6,12.1,0.493,13.2,29.5,0.219
Alabama State,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277
Alabama,0.295,0.471,0.544,50.9,51.2,11.7,10.4,0.513,16.2,31.1,0.213
Albany (NY),0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247
Alcorn State,0.34,0.34,0.488,47.8,40.7,10.6,5,0.444,17.7,29.7,0.247
American,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189
App State,0.343,0.431,0.525,50.6,49.4,11.8,9.8,0.484,14.8,29.9,0.253
Arizona State,0.333,0.354,0.53,44.6,49.8,9.9,8.8,0.492,13.5,21.1,0.242
Arizona,0.418,0.314,0.548,55.1,60.4,8.5,11.2,0.505,14.7,34,0.304
Little Rock,0.369,0.337,0.542,52.3,55.5,9.3,9.6,0.508,19.2,31.1,0.259
Arkansas-Pine Bluff,0.386,0.295,0.483,46.7,45.8,9.1,9.9,0.432,19.7,26.7,0.279
Arkansas State,0.344,0.289,0.538,52.5,55.9,9.4,7.1,0.502,16.2,31.9,0.248
Arkansas,0.327,0.358,0.55,52.8,50.8,10.7,13.5,0.515,14.9,31.7,0.241
Army,0.282,0.41,0.544,49.6,54,9,4.2,0.527,15.9,23,0.179
Auburn,0.362,0.461,0.546,52,56.3,8.4,14.8,0.512,18.7,34.8,0.256
Austin Peay,0.286,0.354,0.546,52.1,48.7,9.7,5.9,0.513,17.8,36,0.215
Ball State,0.287,0.412,0.547,49.4,51.9,7.5,6.1,0.513,17.3,27.8,0.215
Baylor,0.27,0.392,0.593,53.2,54.8,12.7,10.3,0.575,14.9,37.5,0.188
Bellarmine,0.288,0.313,0.599,51.4,56.2,11,8.1,0.574,15.2,27.9,0.214
Belmont,0.282,0.43,0.588,50.4,61.2,10.7,7.5,0.563,14.8,26.1,0.208
Binghamton,0.232,0.454,0.511,50.2,46.3,7.4,8.3,0.489,17.8,29.1,0.156
Boise State,0.35,0.382,0.558,52.3,50.2,9.4,7.9,0.521,14.4,27.3,0.26
Boston College,0.297,0.46,0.527,47.3,46,9.9,10,0.497,16.8,25,0.208
Boston University,0.286,0.38,0.532,51.2,41.9,8,7.8,0.497,16.1,28.9,0.215
Bowling Green State,0.287,0.387,0.52,49.6,45,9.9,5.5,0.485,11.7,30.7,0.212
Bradley,0.24,0.369,0.534,52.3,51.9,7.7,11,0.509,16,29.3,0.174
BYU,0.274,0.396,0.582,54.8,57.4,6.6,7.2,0.557,16.4,28.7,0.2
Brown,,,,,,,,,,,
Bryant,0.351,0.396,0.581,51.5,53.7,8.9,8.7,0.545,17.4,29.3,0.265
Bucknell,0.363,0.391,0.561,47.6,46.3,8,8.1,0.52,16,19.8,0.277
Buffalo,0.298,0.311,0.537,55.3,52.3,10.6,9.6,0.513,15.4,37.3,0.201
Butler,0.294,0.398,0.5,48.8,53.8,8.4,6,0.475,15.3,26,0.19
Cal Poly,0.295,0.373,0.492,46.4,57.5,9,9.3,0.455,18.1,22.1,0.213
Cal State Bakersfield,0.272,0.27,0.524,56.2,53.4,9.7,10.1,0.494,16.4,39.3,0.194
Cal State Fullerton,0.343,0.359,0.557,47.6,50.7,9.1,5,0.521,15.6,25,0.253
Cal State Northridge,0.308,0.38,0.523,47,52.3,8.9,6.1,0.488,14.7,25.3,0.224
California Baptist,0.343,0.41,0.587,53.1,63.6,7.1,6.3,0.556,16.7,29,0.253
UC-Davis,0.369,0.309,0.54,48.9,43.4,10.4,8,0.49,17.9,26.6,0.289
UC-Irvine,0.293,0.241,0.53,55.4,43.8,10.8,11.6,0.492,16,32.6,0.223
UC-Riverside,0.22,0.423,0.546,52.5,53.8,7.8,6.2,0.525,15.7,26.2,0.155
UC-San Diego,0.213,0.514,0.567,43.8,65.8,9.7,5.4,0.556,17.4,17.3,0.136
UCSB,0.342,0.339,0.579,54.2,59,11.1,7.4,0.545,14.2,29.4,0.257
