Team,Conf,W,L,Win%,WinPerc,AdjEM,EM,AdjO,Orank,AdjD,Drank,AdjT,Tempo,Luck,SoS,SoSR
Gonzaga,WCC,26,0,1,1,38.05,1,126.8,1,88.8,10,74.8,4,0.018,1,94
Michigan,B10,20,4,0.833333333,11,32.22,2,120.1,6,87.9,7,66.8,260,0.026,2,14
Illinois,B10,23,6,0.793103448,15,32.04,3,119.7,7,87.6,5,70.7,80,0.03,3,3
Baylor,B12,22,2,0.916666667,4,30.93,4,124,3,93,44,68.4,179,0.05,4,78
Iowa,B10,21,8,0.724137931,30,30.33,5,124.2,2,93.9,50,70,99,-0.028,5,13
Houston,Amer,24,3,0.888888889,5,30.25,6,119.6,8,89.4,16,64.9,327,-0.009,6,106
Ohio State,B10,21,9,0.7,38,26.85,7,123,4,96.1,79,67.1,247,0.003,7,5
Alabama,SEC,24,6,0.8,13,26.42,8,112.4,34,86,2,73.9,9,0.031,8,27
Loyola Chicago,MVC,24,4,0.857142857,7,25.18,9,111.1,49,85.9,1,64.2,342,-0.02,9,134
Wisconsin,B10,17,12,0.586206897,62,24.08,10,113.2,32,89.1,13,64.9,326,-0.049,10,9
Virginia,ACC,18,6,0.75,22,24.08,10,116.3,12,92.3,33,60.1,357,0.046,11,53
Villanova,BE,16,6,0.727272727,28,24.05,12,119.3,9,95.3,68,65.1,320,-0.006,12,41
Purdue,B10,18,9,0.666666667,46,23.7,13,114.3,23,90.6,23,66.5,274,0.019,13,11
USC,P12,22,7,0.75862069,21,23.65,14,113.6,30,89.9,19,67.3,236,-0.006,14,64
Florida State,ACC,16,6,0.727272727,28,23.5,15,117.1,10,93.6,48,70.6,84,-0.011,15,44
Connecticut,BE,15,7,0.681818182,44,23.33,16,114.3,24,90.9,25,66,301,-0.066,16,42
Colorado,P12,22,8,0.733333333,24,23.11,17,115.1,17,92,29,66.4,280,-0.033,17,68
Arkansas,SEC,22,6,0.785714286,16,22.96,18,112.2,35,89.2,14,73.1,17,0.056,18,60
Creighton,BE,20,8,0.714285714,32,22.73,19,115.6,14,92.8,40,69.1,144,0.001,19,45
SDSU,MWC,23,4,0.851851852,8,22.72,20,111.5,44,88.8,11,66.1,298,0.018,20,109
Tennessee,SEC,18,8,0.692307692,43,22.49,21,109.5,71,87,4,67.3,233,-0.007,21,49
Kansas,B12,20,8,0.714285714,32,22.46,22,110.3,59,87.9,6,68.3,186,0.042,22,20
Texas Tech,B12,17,10,0.62962963,57,22.38,23,113.1,33,90.7,24,65.4,316,-0.091,23,59
BYU,WCC,20,6,0.769230769,17,22.37,24,113.8,28,91.4,26,68,199,0.045,24,73
St. Bonaventure,A10,16,4,0.8,13,22.25,25,112,38,89.8,17,65.2,319,0.014,25,90
Texas,B12,19,7,0.730769231,25,22.01,26,114.5,21,92.5,36,69.2,137,0.017,26,30
West Virginia,B12,18,9,0.666666667,46,21.75,27,116.8,11,95.1,65,69.6,114,-0.04,27,19
North Carolina,ACC,18,10,0.642857143,53,21.52,28,110.8,53,89.3,15,71.8,45,-0.017,28,28
LSU,SEC,18,9,0.666666667,46,21.02,29,120.5,5,99.4,125,70.8,78,0.002,29,37
Oklahoma State,B12,20,8,0.714285714,32,20.2,30,110.8,54,90.6,22,72,43,0.039,30,22
Maryland,B10,16,13,0.551724138,66,20.15,31,111.6,42,91.5,27,65.3,317,-0.035,31,12
Georgia Tech,ACC,17,8,0.68,45,19.98,32,114,27,94.1,52,67.8,215,-0.005,32,50
Rutgers,B10,15,11,0.576923077,64,19.57,33,109.3,75,89.8,18,67.8,213,0.032,33,7
