Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,Pts
Gonzaga,34.2,62,55.1,7.3,20,36.5,16.5,22.7,72.7,9.6,28.3,37.9,18.3,12.1,8.3,2.8,16.7,92.1
Colgate,31.5,63.4,49.7,8.7,22.6,38.5,14.7,20,73.6,10,30.5,40.5,17.6,10.2,7.1,3.7,15.7,86.4
Baylor,31.1,63,49.3,10.3,24.7,41.8,11.9,17,69.7,12.9,23.6,36.5,17,12.4,9,3.8,17.2,84.4
Southern Utah,29.1,61.5,47.4,8.8,25.8,34.1,17.2,23,74.8,11,28.4,39.4,14.1,12.1,7,2.6,16.9,84.2
Bryant,29,61.9,46.8,9.4,24.5,38.4,16.4,21.7,75.7,10.6,29.7,40.2,15.6,15.2,6.8,3.6,16.5,83.9
Iowa,29.8,63.4,46.9,9.8,25.3,38.6,14.5,20.3,71.3,11.3,28.9,40.1,19.1,9.5,5.6,4.5,14.9,83.8
Arkansas,29.5,64.8,45.5,7.9,23.2,33.9,15.6,21.2,73.7,12,28,40,15,13.1,8.1,5.1,16.9,82.4
LSU,29,62.2,46.6,8.1,23.1,34.9,16.2,21.6,74.9,11.3,26.8,38.1,12.4,12,8.2,2.7,17.5,82.2
Wright St.,29.6,61.3,48.3,7.5,20.2,37,15.3,21.2,72.4,11.9,30.5,42.3,15.4,13.1,5.9,3.6,13.7,82
Eastern Kentucky,30,67.1,44.8,9.6,26.8,35.9,12.1,17.1,70.6,10.6,25,35.6,15.9,12.9,10.3,3.6,18.4,81.8
Oral Roberts,28.2,62.2,45.4,11.3,29,39,14,17,82.4,8.4,26.8,35.2,12.7,11.5,6.4,4.1,17.7,81.8
Weber St.,28.5,56.5,50.5,8.4,21.6,38.9,16.3,20.8,78.7,6.4,26.3,32.8,15,12.5,6.7,3,16.3,81.8
Buffalo,30.7,66.6,46,7,20.7,33.8,13.4,19.9,67.3,14.9,29.1,44,16,13.9,8,4.1,18,81.7
Toledo,28.6,62.4,45.8,10.6,28.2,37.7,13.8,17.8,77.9,10.7,27.1,37.8,15.9,11,6.1,2.5,15.3,81.6
Belmont,29.8,61,48.9,9,26.2,34.4,12.7,17.2,73.8,8.8,26.9,35.7,18.2,12,7.7,2.9,14.6,81.3
Illinois,29.4,58.7,50,6.7,18,37.4,15.6,22.8,68.8,10.7,29.6,40.4,16.4,13.3,5.8,2.9,17.8,81.1
Ohio,29.8,61,48.9,8.5,23.5,36.1,12.7,18.2,70.1,9.8,25,34.8,18,12,6.7,2.1,16.1,80.9
Citadel,28.3,62.6,45.2,10.2,28.8,35.6,13.9,19.8,70.1,9.5,28.3,37.8,15.6,12.1,5.4,4.3,16.2,80.8
S. Dakota St.,28.5,57.2,49.8,8,19.9,40.4,15.4,21.6,71.6,7.8,28,35.7,14.2,12.3,5.5,3.1,16.1,80.4
Georgia St.,29.5,63,46.8,8.1,22.6,35.8,13.2,19.3,68.5,11.4,26.2,37.5,16.8,11.6,7.1,4.4,16.6,80.3
McNeese St.,29.9,60.7,49.3,8.5,21.9,38.8,12,17.4,68.8,10.6,26.7,37.3,18.5,15,7.2,2,17.1,80.3
Stephen F. Austin,29.6,56.9,52.1,4.8,14.1,33.7,16.3,24,68,11.7,24.1,35.8,15.8,16.6,9.5,3.5,20,80.3
Virginia Military,28.2,60.7,46.5,10.8,28.4,38,12.8,16.5,77.2,8.3,30.2,38.5,15.7,12.6,5.4,3,14.6,80
Marshall,29.8,62.8,47.5,9.3,25.8,36,11,15.2,72.5,8.3,27,35.3,15.9,12,7.8,5.2,15.1,79.9
Coastal Carolina,28.3,61.7,45.9,8.8,24.3,36.1,14.3,19.7,73,13.7,30,43.7,15.5,15,8.5,4.2,16.5,79.8
Morgan St.,27.4,63.1,43.3,8.3,24.1,34.3,16.8,22.7,73.9,13.5,26.2,39.7,14.8,15.6,7.9,3.7,20.7,79.8
Alabama,27.6,64.2,43,10.6,30.2,35.2,13.7,18.9,72.3,12.2,28,40.2,14.1,14.2,8.8,4.2,18.6,79.6
Furman,29.2,60,48.7,9.7,28.3,34.2,11.5,15.9,72.4,9.2,26.2,35.2,16.6,12.5,8.2,3.4,17.1,79.6
Sam Houston St.,28.5,62.8,45.3,9.1,25.5,35.7,13.6,19.6,69.2,11.4,25.4,36.9,15.5,14.4,8.5,3.1,20.2,79.6
Winthrop,28.1,60.9,46.1,8.5,24,35.3,14.9,21.8,68.6,13,27.3,40.3,15,14.2,7.8,2.4,18.2,79.5
California Baptist,27.6,57.9,47.6,9.3,23.7,39.4,14.7,19.9,73.6,9.7,27.4,37,17.6,13.6,5,2.5,19.8,79.1
St. John's,28.9,64.6,44.7,7.4,21.5,34.5,13.9,18.5,74.9,11.2,24.8,36,16.3,12.6,9.1,3.9,18.3,79
Florida State,28.2,59.4,47.4,8.2,21.1,39,14.3,19.4,73.8,11.7,25.7,37.4,14.6,14.4,7.4,5.1,18.5,78.9
UTSA,29.5,66,44.7,8,24,33.4,11.7,15.4,76.1,11.6,26.9,38.5,14.7,11.6,6.2,3.2,18.3,78.8
BYU,28.9,59.9,48.2,9,23.7,37.8,12,16.4,73.1,9.5,29.9,39.4,16.6,13.3,4.7,2.8,18,78.7
